"ID","Hospital","City","State","Zip","County","Measure_ID","Compared_to_National","Death_Score","Lower","Higher","Readmission_Score","Death_Cat","Readm_Cat","Death_Readm_Cat"
160013,"TRINITY MUSCATINE","MUSCATINE","IA",52761,"MUSCATINE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
160016,"TRINITY REGIONAL MEDICAL CENTER","FORT DODGE","IA",50501,"WEBSTER","MORT_30_AMI","No Different than the National Rate",14.7,"11.6","18.1",16.8,NA,NA,NA
160024,"IOWA LUTHERAN HOSPITAL","DES MOINES","IA",50316,"POLK","MORT_30_AMI","No Different than the National Rate",15.4,"12.1","19.6",15.8,"Worse Than National","Better Than National",NA
160028,"CHI HEALTH MERCY COUNCIL BLUFFS","COUNCIL BLUFFS","IA",51503,"POTTAWATTAMIE","MORT_30_AMI","No Different than the National Rate",13.2,"10.3","16.9",15.3,"Better Than National","Better Than National","Better Than National"
160029,"MERCY HOSPITAL","IOWA CITY","IA",52245,"JOHNSON","MORT_30_AMI","No Different than the National Rate",12.8,"10.3","16.1",14.9,"Better Than National","Better Than National","Better Than National"
160030,"MARY GREELEY MEDICAL CENTER","AMES","IA",50010,"STORY","MORT_30_AMI","No Different than the National Rate",14.2,"11.5","17.4",15.8,NA,"Better Than National",NA
160032,"SKIFF MEDICAL CENTER","NEWTON","IA",50208,"JASPER","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
160033,"GENESIS MEDICAL CENTER-DAVENPORT","DAVENPORT","IA",52803,"SCOTT","MORT_30_AMI","No Different than the National Rate",14.5,"11.9","17.3",15.3,NA,"Better Than National",NA
160040,"SARTORI MEMORIAL HOSPITAL","CEDAR FALLS","IA",50613,"BLACK HAWK","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
160045,"ST LUKES HOSPITAL","CEDAR RAPIDS","IA",52402,"LINN","MORT_30_AMI","No Different than the National Rate",13,"10.4","16.5",14.8,"Better Than National","Better Than National","Better Than National"
160047,"METHODIST JENNIE EDMUNDSON","COUNCIL BLUFFS","IA",51503,"POTTAWATTAMIE","MORT_30_AMI","No Different than the National Rate",12.9,"9.9","16.2",16.9,"Better Than National",NA,NA
160057,"GREAT RIVER MEDICAL CENTER","WEST BURLINGTON","IA",52655,"DES MOINES","MORT_30_AMI","No Different than the National Rate",14.4,"11.5","17.7",17.3,NA,NA,NA
160058,"UNIVERSITY OF IOWA HOSPITAL & CLINICS","IOWA CITY","IA",52242,"JOHNSON","MORT_30_AMI","No Different than the National Rate",13.5,"10.7","16.7",16.8,NA,NA,NA
160064,"MERCY MEDICAL CENTER-NORTH IOWA","MASON CITY","IA",50401,"CERRO GORDO","MORT_30_AMI","No Different than the National Rate",15.7,"13.0","18.7",15.4,"Worse Than National","Better Than National",NA
160067,"COVENANT MEDICAL CENTER","WATERLOO","IA",50702,"BLACK HAWK","MORT_30_AMI","No Different than the National Rate",13.3,"10.5","16.4",16.3,"Better Than National","Better Than National","Better Than National"
160069,"MERCY MEDICAL CENTER-DUBUQUE","DUBUQUE","IA",52001,"DUBUQUE","MORT_30_AMI","No Different than the National Rate",13,"9.8","16.8",16.5,"Better Than National",NA,NA
160079,"MERCY MEDICAL CENTER - CEDAR RAPIDS","CEDAR RAPIDS","IA",52403,"LINN","MORT_30_AMI","No Different than the National Rate",13.3,"10.8","16.2",16.1,"Better Than National","Better Than National","Better Than National"
160080,"MERCY MEDICAL CENTER-CLINTON","CLINTON","IA",52732,"CLINTON","MORT_30_AMI","No Different than the National Rate",14.1,"11.2","17.2",16.3,NA,"Better Than National",NA
160082,"IOWA METHODIST MEDICAL CENTER","DES MOINES","IA",50309,"POLK","MORT_30_AMI","Worse than the National Rate",17.1,"14.5","20.3",16.1,"Worse Than National","Better Than National",NA
160083,"MERCY MEDICAL CENTER-DES MOINES","DES MOINES","IA",50314,"POLK","MORT_30_AMI","No Different than the National Rate",14.8,"12.4","17.2",17.3,NA,NA,NA
160089,"OTTUMWA REGIONAL HEALTH CENTER","OTTUMWA","IA",52501,"WAPELLO","MORT_30_AMI","No Different than the National Rate",14.2,"10.9","17.7",16.2,NA,"Better Than National",NA
160101,"BROADLAWNS MEDICAL CENTER","DES MOINES","IA",50314,"POLK","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
160104,"TRINITY BETTENDORF","BETTENDORF","IA",52722,"SCOTT","MORT_30_AMI","No Different than the National Rate",13,"9.9","16.6",17,"Better Than National",NA,NA
160110,"ALLEN HOSPITAL","WATERLOO","IA",50703,"BLACK HAWK","MORT_30_AMI","No Different than the National Rate",15,"12.3","18.3",15.8,"Worse Than National","Better Than National",NA
160112,"SPENCER MUNICIPAL HOSPITAL","SPENCER","IA",51301,"CLAY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
160117,"FINLEY HOSPITAL","DUBUQUE","IA",52001,"DUBUQUE","MORT_30_AMI","No Different than the National Rate",14.1,"11.0","18.0",16.6,NA,NA,NA
160122,"FORT MADISON COMMUNITY HOSPITAL","FORT MADISON","IA",52627,"LEE","MORT_30_AMI","No Different than the National Rate",13.4,"10.2","17.2",17.4,NA,NA,NA
160124,"LAKES REGIONAL HEALTHCARE","SPIRIT LAKE","IA",51360,"DICKINSON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
160146,"ST LUKES REGIONAL MEDICAL CENTER","SIOUX CITY","IA",51104,"WOODBURY","MORT_30_AMI","No Different than the National Rate",12.5,"9.4","16.1",17.4,"Better Than National",NA,NA
160147,"GRINNELL REGIONAL MEDICAL CENTER","GRINNELL","IA",50112,"POWESHIEK","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
160153,"MERCY MEDICAL CENTER-SIOUX CITY","SIOUX CITY","IA",51101,"WOODBURY","MORT_30_AMI","No Different than the National Rate",16.3,"13.4","19.9",17.1,"Worse Than National",NA,NA
161300,"BAUM HARMON MERCY HOSPITAL","PRIMGHAR","IA",51245,"OBRIEN","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161301,"IOWA SPECIALTY HOSPITAL - BELMOND","BELMOND","IA",50421,"WRIGHT","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161302,"IOWA SPECIALTY HOSPITAL-CLARION","CLARION","IA",50525,"WRIGHT","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161303,"GRUNDY COUNTY MEMORIAL HOSPITAL","GRUNDY CENTER","IA",50638,"GRUNDY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161304,"CHI HEALTH  - MERCY CORNING","CORNING","IA",50841,"ADAMS","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161305,"POCAHONTAS COMMUNITY HOSPITAL","POCAHONTAS","IA",50574,"POCAHONTAS","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161306,"JONES REGIONAL MEDICAL CENTER","ANAMOSA","IA",52205,"JONES","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161307,"HANCOCK COUNTY HEALTH SYSTEM","BRITT","IA",50423,"HANCOCK","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161308,"FRANKLIN GENERAL HOSPITAL","HAMPTON","IA",50441,"FRANKLIN","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161309,"CHI HEALTH MISSOURI VALLEY","MISSOURI VALLEY","IA",51555,"HARRISON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161310,"ADAIR COUNTY MEMORIAL HOSPITAL","GREENFIELD","IA",50849,"ADAIR","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161311,"HAWARDEN REGIONAL HEALTHCARE","HAWARDEN","IA",51023,"SIOUX","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161312,"GUTTENBERG MUNICIPAL HOSPITAL","GUTTENBERG","IA",52052,"CLAYTON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161313,"GENESIS MEDICAL CENTER-DEWITT","DEWITT","IA",52742,"CLINTON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161314,"GUTHRIE COUNTY HOSPITAL","GUTHRIE CENTER","IA",50115,"GUTHRIE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161315,"KEOKUK COUNTY HEALTH CENTER","SIGOURNEY","IA",52591,"KEOKUK","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161316,"GUNDERSEN PALMER LUTHERAN HOSPITAL AND CLINICS","WEST UNION","IA",52175,"FAYETTE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161317,"MARENGO MEMORIAL HOSPITAL","MARENGO","IA",52301,"IOWA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161318,"VETERANS MEMORIAL HOSPITAL","WAUKON","IA",52172,"ALLAMAKEE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161319,"CENTRAL COMMUNITY HOSPITAL","ELKADER","IA",52043,"CLAYTON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161320,"COMMUNITY MEMORIAL HOSPITAL MEDICAL CENTER","SUMNER","IA",50674,"BREMER","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161321,"SANFORD ROCK RAPIDS MEDICAL CENTER","ROCK RAPIDS","IA",51246,"LYON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161322,"DALLAS COUNTY HOSPITAL","PERRY","IA",50220,"DALLAS","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161323,"MITCHELL COUNTY REGIONAL HEALTH","OSAGE","IA",50461,"MITCHELL","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161324,"GEORGE C GRAPE COMMUNITY HOSPITAL","HAMBURG","IA",51640,"FREMONT","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161325,"GREENE COUNTY MEDICAL CENTER","JEFFERSON","IA",50129,"GREENE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161326,"MADISON COUNTY MEMORIAL HOSPITAL","WINTERSET","IA",50273,"MADISON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161327,"DAVIS COUNTY HOSPITAL","BLOOMFIELD","IA",52537,"DAVIS","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161328,"REGIONAL HEALTH SERVICES OF HOWARD COUNTY","CRESCO","IA",52136,"HOWARD","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161329,"JACKSON COUNTY REGIONAL HEALTH CENTER","MAQUOKETA","IA",52060,"JACKSON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161330,"AUDUBON COUNTY MEMORIAL HOSPITAL","AUDUBON","IA",50025,"AUDUBON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161331,"MERCY MEDICAL CENTER-NEW HAMPTON","NEW HAMPTON","IA",50659,"CHICKASAW","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161332,"MANNING REGIONAL HEALTHCARE CENTER","MANNING","IA",51455,"CARROLL","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161333,"STORY COUNTY HOSPITAL","NEVADA","IA",50201,"STORY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161334,"HUMBOLDT COUNTY MEMORIAL HOSPITAL","HUMBOLDT","IA",50548,"HUMBOLDT","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161335,"BUCHANAN COUNTY HEALTH CENTER","INDEPENDENCE","IA",50644,"BUCHANAN","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161336,"HEGG MEMORIAL HEALTH CENTER","ROCK VALLEY","IA",51247,"SIOUX","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161337,"VAN BUREN COUNTY HOSPITAL","KEOSAUQUA","IA",52565,"VAN BUREN","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161338,"MERCY HOSPITAL OF FRANCISCAN SISTERS-OELWEIN","OELWEIN","IA",50662,"FAYETTE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161339,"WAVERLY HEALTH CENTER","WAVERLY","IA",50677,"BREMER","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161340,"DECATUR COUNTY HOSPITAL","LEON","IA",50144,"DECATUR","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161341,"LUCAS COUNTY HEALTH CENTER","CHARITON","IA",50049,"LUCAS","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161342,"MONROE COUNTY HOSPITAL","ALBIA","IA",52531,"MONROE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161343,"REGIONAL MEDICAL CENTER","MANCHESTER","IA",52057,"DELAWARE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161344,"WASHINGTON COUNTY HOSPITAL AND CLINICS","WASHINGTON","IA",52353,"WASHINGTON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161345,"OSCEOLA COMMUNITY HOSPITAL","SIBLEY","IA",51249,"OSCEOLA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161346,"SIOUX CENTER HEALTH","SIOUX CENTER","IA",51250,"SIOUX","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161347,"FLOYD COUNTY MEDICAL CENTER","CHARLES CITY","IA",50616,"FLOYD","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161348,"CLARKE COUNTY HOSPITAL","OSCEOLA","IA",50213,"CLARKE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161349,"VIRGINIA GAY HOSPITAL","VINTON","IA",52349,"BENTON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161350,"STEWART MEMORIAL COMMUNITY HOSPITAL","LAKE CITY","IA",51449,"CALHOUN","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161351,"AVERA HOLY FAMILY HOSPITAL","ESTHERVILLE","IA",51334,"EMMET","MORT_30_AMI","No Different than the National Rate",14.4,"11.1","18.2",16.8,NA,NA,NA
161352,"CLARINDA REGIONAL HEALTH CENTER","CLARINDA","IA",51632,"PAGE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161353,"KOSSUTH REGIONAL HEALTH CENTER","ALGONA","IA",50511,"KOSSUTH","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161354,"HORN MEMORIAL HOSPITAL","IDA GROVE","IA",51445,"IDA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161355,"KNOXVILLE HOSPITAL & CLINICS","KNOXVILLE","IA",50138,"MARION","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161356,"HENRY COUNTY HEALTH CENTER","MOUNT PLEASANT","IA",52641,"HENRY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161357,"PALO ALTO COUNTY HOSPITAL","EMMETSBURG","IA",50536,"PALO ALTO","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161358,"WAYNE COUNTY HOSPITAL","CORYDON","IA",50060,"WAYNE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161359,"BURGESS HEALTH CENTER","ONAWA","IA",51040,"MONONA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161360,"ORANGE CITY AREA HEALTH SYSTEM","ORANGE CITY","IA",51041,"SIOUX","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161361,"VAN DIEST MEDICAL CENTER","WEBSTER CITY","IA",50595,"HAMILTON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161362,"CHEROKEE REGIONAL MEDICAL CENTER","CHEROKEE","IA",51012,"CHEROKEE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161363,"MONTGOMERY COUNTY MEMORIAL HOSPITAL","RED OAK","IA",51566,"MONTGOMERY","MORT_30_AMI","No Different than the National Rate",15.5,"11.8","20.0",NA,"Worse Than National",NA,NA
161364,"JEFFERSON COUNTY HEALTH CENTER","FAIRFIELD","IA",52556,"JEFFERSON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161365,"GREATER REGIONAL MEDICAL CENTER","CRESTON","IA",50801,"UNION","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161366,"SHENANDOAH MEDICAL CENTER","SHENANDOAH","IA",51601,"PAGE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161367,"PELLA REGIONAL HEALTH CENTER","PELLA","IA",50219,"MARION","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161368,"FLOYD VALLEY HOSPITAL","LE MARS","IA",51031,"PLYMOUTH","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161369,"CRAWFORD COUNTY MEMORIAL HOSPITAL","DENISON","IA",51442,"CRAWFORD","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161370,"LORING HOSPITAL","SAC CITY","IA",50583,"SAC","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161371,"WINNESHIEK MEDICAL CENTER","DECORAH","IA",52101,"WINNESHIEK","MORT_30_AMI","No Different than the National Rate",13.3,"9.9","16.9",15.7,"Better Than National","Better Than National","Better Than National"
161372,"BOONE COUNTY HOSPITAL","BOONE","IA",50036,"BOONE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161373,"RINGGOLD COUNTY HOSPITAL","MOUNT AYR","IA",50854,"RINGGOLD","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161374,"MYRTUE MEDICAL CENTER","HARLAN","IA",51537,"SHELBY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161375,"BUENA VISTA REGIONAL MEDICAL CENTER","STORM LAKE","IA",50588,"BUENA VISTA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161376,"CASS COUNTY MEMORIAL HOSPITAL","ATLANTIC","IA",50022,"CASS","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161377,"MERCY MEDICAL CENTER-CENTERVILLE","CENTERVILLE","IA",52544,"APPANOOSE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161378,"MERCY MEDICAL CENTER-DYERSVILLE","DYERSVILLE","IA",52040,"DUBUQUE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161379,"MAHASKA  HEALTH PARTNERSHIP","OSKALOOSA","IA",52577,"MAHASKA","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161380,"HANSEN FAMILY HOSPITAL","IOWA FALLS","IA",50126,"HARDIN","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
161381,"SANFORD SHELDON MEDICAL CENTER","SHELDON","IA",51201,"OBRIEN","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170006,"VIA CHRISTI HOSPITAL PITTSBURG INC","PITTSBURG","KS",66762,"CRAWFORD","MORT_30_AMI","No Different than the National Rate",14.4,"11.2","18.4",16.4,NA,NA,NA
170009,"SAINT JOHN HOSPITAL","LEAVENWORTH","KS",66048,"LEAVENWORTH","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170012,"SALINA REGIONAL HEALTH CENTER","SALINA","KS",67401,"SALINE","MORT_30_AMI","No Different than the National Rate",13.9,"10.9","17.4",17,NA,NA,NA
170013,"HAYS MEDICAL CENTER","HAYS","KS",67601,"ELLIS","MORT_30_AMI","No Different than the National Rate",12.7,"10.1","15.9",15.3,"Better Than National","Better Than National","Better Than National"
170014,"RANSOM MEMORIAL HOSPITAL","OTTAWA","KS",66067,"FRANKLIN","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170016,"ST FRANCIS HEALTH CENTER INC","TOPEKA","KS",66606,"SHAWNEE","MORT_30_AMI","No Different than the National Rate",14.9,"12.1","18.4",16.6,"Worse Than National",NA,NA
170017,"SUSAN B ALLEN MEMORIAL HOSPITAL","EL DORADO","KS",67042,"BUTLER","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170020,"HUTCHINSON REGIONAL MEDICAL CENTER INC","HUTCHINSON","KS",67502,"RENO","MORT_30_AMI","No Different than the National Rate",15.9,"12.8","19.7",16.2,"Worse Than National","Better Than National",NA
170023,"ST CATHERINE HOSPITAL","GARDEN CITY","KS",67846,"FINNEY","MORT_30_AMI","No Different than the National Rate",12.4,"9.1","16.5",16.6,"Better Than National",NA,NA
170027,"PRATT REGIONAL MEDICAL CENTER","PRATT","KS",67124,"PRATT","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170039,"SUMNER REGIONAL MEDICAL CENTER","WELLINGTON","KS",67152,"SUMNER","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170040,"UNIVERSITY OF KANSAS HOSPITAL","KANSAS CITY","KS",66103,"WYANDOTTE","MORT_30_AMI","No Different than the National Rate",13.2,"10.3","16.9",18.3,"Better Than National","Worse Than National",NA
170049,"OLATHE MEDICAL CENTER","OLATHE","KS",66061,"JOHNSON","MORT_30_AMI","No Different than the National Rate",14.5,"11.5","18.2",18.6,NA,"Worse Than National",NA
170058,"MERCY HOSPITAL-FORT SCOTT","FORT SCOTT","KS",66701,"BOURBON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170068,"SOUTHWEST MEDICAL CENTER","LIBERAL","KS",67901,"SEWARD","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170074,"GEARY COMMUNITY HOSPITAL","JUNCTION CITY","KS",66441,"GEARY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170075,"MERCY HOSPITAL","MOUNDRIDGE","KS",67107,"MCPHERSON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170086,"STORMONT VAIL HOSPITAL","TOPEKA","KS",66604,"SHAWNEE","MORT_30_AMI","No Different than the National Rate",13.3,"10.8","16.3",16.9,"Better Than National",NA,NA
170094,"COFFEY COUNTY HOSPITAL","BURLINGTON","KS",66839,"COFFEY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170103,"NEWTON MEDICAL CENTER","NEWTON","KS",67114,"HARVEY","MORT_30_AMI","No Different than the National Rate",14.1,"10.9","17.9",16.6,NA,NA,NA
170104,"SHAWNEE MISSION MEDICAL CENTER","SHAWNEE MISSION","KS",66204,"JOHNSON","MORT_30_AMI","No Different than the National Rate",16.4,"13.1","20.4",16.9,"Worse Than National",NA,NA
170105,"MCPHERSON HOSPITAL INC","MCPHERSON","KS",67460,"MCPHERSON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170109,"MIAMI COUNTY MEDICAL CENTER","PAOLA","KS",66071,"MIAMI","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170110,"BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL","ULYSSES","KS",67880,"GRANT","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170120,"LABETTE HEALTH","PARSONS","KS",67357,"LABETTE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170122,"VIA CHRISTI HOSPITALS WICHITA, INC","WICHITA","KS",67214,"SEDGWICK","MORT_30_AMI","No Different than the National Rate",15.1,"12.9","17.8",15.7,"Worse Than National","Better Than National",NA
170123,"WESLEY MEDICAL CENTER","WICHITA","KS",67214,"SEDGWICK","MORT_30_AMI","No Different than the National Rate",13.6,"11.6","16.0",15.5,NA,"Better Than National",NA
170133,"SAINT LUKE'S CUSHING HOSPITAL","LEAVENWORTH","KS",66048,"LEAVENWORTH","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170137,"LAWRENCE MEMORIAL HOSPITAL","LAWRENCE","KS",66044,"DOUGLAS","MORT_30_AMI","No Different than the National Rate",13.5,"10.6","17.1",17.3,NA,NA,NA
170142,"VIA CHRISTI HOSPITAL MANHATTAN, INC","MANHATTAN","KS",66502,"RILEY","MORT_30_AMI","No Different than the National Rate",13.1,"10.2","16.5",15.5,"Better Than National","Better Than National","Better Than National"
170145,"COFFEYVILLE REGIONAL MEDICAL CENTER","COFFEYVILLE","KS",67337,"MONTGOMERY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170146,"PROVIDENCE MEDICAL CENTER","KANSAS CITY","KS",66112,"WYANDOTTE","MORT_30_AMI","No Different than the National Rate",15.1,"12.0","18.9",18.1,"Worse Than National","Worse Than National","Worse Than National"
170150,"SOUTH CENTRAL KS  MED CENTER","ARKANSAS CITY","KS",67005,"COWLEY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170166,"MORTON COUNTY HOSPITAL","ELKHART","KS",67950,"MORTON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170175,"WESTERN PLAINS MEDICAL COMPLEX","DODGE CITY","KS",67801,"FORD","MORT_30_AMI","No Different than the National Rate",14.4,"11.0","18.5",16.1,NA,"Better Than National",NA
170176,"OVERLAND PARK REG MED CTR","OVERLAND PARK","KS",66215,"JOHNSON","MORT_30_AMI","No Different than the National Rate",15,"11.7","19.1",17.9,"Worse Than National","Worse Than National","Worse Than National"
170182,"MENORAH MEDICAL CENTER","OVERLAND PARK","KS",66209,"JOHNSON","MORT_30_AMI","No Different than the National Rate",15.1,"11.6","19.3",16.1,"Worse Than National","Better Than National",NA
170183,"KANSAS SURGERY & RECOVERY CENTER","WICHITA","KS",67226,"SEDGWICK","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170185,"SAINT LUKE'S SOUTH HOSPITAL","OVERLAND PARK","KS",66213,"JOHNSON","MORT_30_AMI","No Different than the National Rate",11.5,"8.8","14.8",16.3,"Better Than National","Better Than National","Better Than National"
170186,"KANSAS HEART HOSPITAL","WICHITA","KS",67226,"SEDGWICK","MORT_30_AMI","No Different than the National Rate",11.7,"9.1","14.9",15.2,"Better Than National","Better Than National","Better Than National"
170187,"SALINA SURGICAL HOSPITAL","SALINA","KS",67401,"SALINE","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170188,"KANSAS CITY ORTHOPAEDIC INSTITUTE","LEAWOOD","KS",66211,"JOHNSON","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
170190,"MANHATTAN SURGICAL HOSPITAL LLC","MANHATTAN","KS",66502,"RILEY","MORT_30_AMI",NA,NA,"Not Available","Not Available",NA,NA,NA,NA
